propServerA,propServerB,bestof,model,pointServeRate,pointRate,holdRate,gameRate,setRate,winRate,expPoints,expGames,expSets,tiebreakRate,medianTGames
0.11,0.39,3,static,0.10998,0.39529,0.0021502,0.36319,0.01832,0.0011,43.731,7.2337,0.0373,0.19209,19
0.11,0.4,3,static,0.11014,0.39047,0.0019389,0.3532,0.014396,0.0006,42.22,6.8668,0.0292,0.16013,19
0.11,0.41,3,static,0.10954,0.38531,0.0019173,0.3429,0.010002,0.0003,40.807,6.5072,0.0202,0.13508,18
0.11,0.42,3,static,0.10956,0.38013,0.0020808,0.33237,0.0086262,0.0002,39.334,6.1699,0.0174,0.10941,18
0.11,0.43,3,static,0.11014,0.37605,0.0022298,0.32406,0.0067547,0.0002,38.363,5.9192,0.0136,0.094268,18
0.11,0.44,3,static,0.10992,0.37035,0.0020889,0.31185,0.0051236,0,36.939,5.5642,0.0103,0.071233,17
0.11,0.45,3,static,0.10974,0.36524,0.002165,0.30099,0.0037856,0,35.744,5.2653,0.0076,0.059474,17
0.11,0.46,3,static,0.10967,0.35991,0.0023616,0.29007,0.0030904,0,34.591,4.9791,0.0062,0.047553,17
0.11,0.47,3,static,0.1096,0.35552,0.0021794,0.28059,0.0028916,0,33.719,4.7434,0.0058,0.037691,17
0.11,0.48,3,static,0.1102,0.34923,0.0020362,0.26701,0.0016473,0,32.401,4.4157,0.0033,0.029901,16
0.11,0.49,3,static,0.11006,0.34355,0.0022463,0.25469,0.000999,0,31.254,4.1299,0.002,0.02048,16
0.11,0.5,3,static,0.1098,0.33786,0.0022224,0.24292,0.00084928,0,30.213,3.8733,0.0017,0.015886,16
0.11,0.51,3,static,0.11097,0.33309,0.0020253,0.23208,0.0004498,0,29.346,3.643,0.0009,0.011645,16
0.11,0.52,3,static,0.11088,0.32773,0.001883,0.22054,0.00034988,0,28.427,3.4077,0.0007,0.0098466,15
0.11,0.53,3,static,0.10962,0.32101,0.0021355,0.20782,0.00039984,0,27.316,3.1569,0.0008,0.0068972,15
0.11,0.54,3,static,0.10946,0.31471,0.0020012,0.19656,0.00019996,0,26.277,2.9412,0.0004,0.0041992,15
0.11,0.55,3,static,0.11035,0.30974,0.0020307,0.18612,0.00014998,0,25.499,2.7483,0.0003,0.0034995,15
0.11,0.56,3,static,0.11022,0.30367,0.0021456,0.17431,9.999e-05,0,24.573,2.5364,0.0002,0.0020998,14
0.11,0.57,3,static,0.10977,0.29708,0.001972,0.16258,9.999e-05,0,23.633,2.3316,0.0002,0.0015498,14
0.11,0.58,3,static,0.10954,0.2911,0.002029,0.15177,0,0,22.791,2.1482,0,0.00105,14
0.11,0.59,3,static,0.10924,0.28414,0.0020079,0.14026,0,0,21.822,1.9584,0,0.00055,14
0.11,0.6,3,static,0.11006,0.27901,0.0020323,0.13116,4.9998e-05,0,21.145,1.8119,0.0001,0.00019999,14
0.11,0.61,3,static,0.10949,0.27244,0.0018208,0.12212,0,0,20.303,1.6694,0,0.0002,14
0.11,0.62,3,static,0.10932,0.26643,0.0020201,0.11225,0,0,19.567,1.5175,0,0.00015,13
0.11,0.63,3,static,0.11006,0.26037,0.0021511,0.10251,0,0,18.826,1.3708,0,0.0001,13
0.11,0.64,3,static,0.10987,0.2531,0.0020146,0.092386,0,0,17.978,1.2215,0,0,13
0.11,0.65,3,static,0.11009,0.2483,0.0019073,0.085635,0,0,17.433,1.1239,0,0,13
0.11,0.66,3,static,0.10913,0.24171,0.0020027,0.077675,0,0,16.712,1.0106,0,0,13
0.11,0.67,3,static,0.11001,0.23527,0.0020859,0.069911,0,0,16.02,0.902,0,0,13
0.11,0.68,3,static,0.10935,0.22959,0.001602,0.063092,0,0,15.441,0.8081,0,0,13
0.11,0.69,3,static,0.10996,0.22341,0.0021022,0.056121,0,0,14.814,0.7135,0,0,13
