simId,setA,setB,gameA,gameB,pointsA,pointsB,propServerA,propServerB,server,pointWinner
1,2,0,2,4,0,1,0.51,0.52,1,0
1,2,0,2,4,1,1,0.51,0.52,1,1
1,2,0,2,4,1,2,0.51,0.52,1,0
1,2,0,2,4,2,2,0.51,0.52,1,0
1,2,0,2,4,3,2,0.51,0.52,1,1
1,2,0,2,4,3,3,0.51,0.52,1,1
1,2,0,2,4,3,4,0.51,0.52,1,1
1,2,0,2,5,0,0,0.51,0.52,0,1
1,2,0,2,5,0,1,0.51,0.52,0,1
1,2,0,2,5,0,2,0.51,0.52,0,1
1,2,0,2,5,0,3,0.51,0.52,0,1
1,2,1,0,0,0,0,0.51,0.52,0,0
1,2,1,0,0,1,0,0.51,0.52,0,0
1,2,1,0,0,2,0,0.51,0.52,0,0
1,2,1,0,0,3,0,0.51,0.52,0,0
1,2,1,1,0,0,0,0.51,0.52,1,1
1,2,1,1,0,0,1,0.51,0.52,1,1
1,2,1,1,0,0,2,0.51,0.52,1,1
1,2,1,1,0,0,3,0.51,0.52,1,0
1,2,1,1,0,1,3,0.51,0.52,1,1
1,2,1,1,1,0,0,0.51,0.52,0,1
1,2,1,1,1,0,1,0.51,0.52,0,0
1,2,1,1,1,1,1,0.51,0.52,0,1
1,2,1,1,1,1,2,0.51,0.52,0,1
1,2,1,1,1,1,3,0.51,0.52,0,0
1,2,1,1,1,2,3,0.51,0.52,0,1
1,2,1,1,2,0,0,0.51,0.52,1,0
1,2,1,1,2,1,0,0.51,0.52,1,0
1,2,1,1,2,2,0,0.51,0.52,1,0
1,2,1,1,2,3,0,0.51,0.52,1,1
1,2,1,1,2,3,1,0.51,0.52,1,1
1,2,1,1,2,3,2,0.51,0.52,1,1
1,2,1,1,2,3,3,0.51,0.52,1,0
1,2,1,1,2,4,3,0.51,0.52,1,0
1,2,1,2,2,0,0,0.51,0.52,0,1
1,2,1,2,2,0,1,0.51,0.52,0,1
1,2,1,2,2,0,2,0.51,0.52,0,0
1,2,1,2,2,1,2,0.51,0.52,0,0
1,2,1,2,2,2,2,0.51,0.52,0,1
1,2,1,2,2,2,3,0.51,0.52,0,1
1,2,1,2,3,0,0,0.51,0.52,1,1
1,2,1,2,3,0,1,0.51,0.52,1,1
1,2,1,2,3,0,2,0.51,0.52,1,1
1,2,1,2,3,0,3,0.51,0.52,1,1
1,2,1,2,4,0,0,0.51,0.52,0,1
1,2,1,2,4,0,1,0.51,0.52,0,0
1,2,1,2,4,1,1,0.51,0.52,0,1
1,2,1,2,4,1,2,0.51,0.52,0,1
1,2,1,2,4,1,3,0.51,0.52,0,1
